Year,Title,Director,MPAA,Runtime,J,E,R,K,S
1994,Forrest Gump,Robert Zemeckis,PG-13,142,1,1,1,1,1
1948,Fort Apache,John Ford,NR,125,0,0,0,0,1
1995,Four Rooms,Allison Anders,R,98,0,0,0,1,1
1951,Fourteen Hours,Henry Hathaway,NR,92,0,0,0,0,0
2001,Frailty,Bill Paxton,R,100,0,0,0,0,1
1931,Frankenstein,James Whale,NR,71,0,0,0,0,1
1932,Freaks,Tod Browning,NR,64,0,0,0,1,1
1971,"French Connection, The",William Friedkin,R,104,1,1,1,1,1
1972,Frenzy,Alfred Hitchcock,R,116,0,0,0,0,1
2002,Frida,Julie Taymore,R,123,0,1,1,0,1
1995,Friday,F. Gary Gray,R,91,1,1,1,1,1
2001,From Hell,Albert Hughes,R,122,1,1,1,1,1
1953,From Here to Eternity,Fred Zinneman,NR,118,0,0,0,0,1
1993,"Fugitive, The",Andrew Davis,R,127,1,1,1,1,1
1987,Full Metal Jacket,Stanley Kubrick,R,116,1,1,1,1,1
1997,"Full Monty, The",Peter Catteneo,R,91,1,1,1,1,1
1997,"Game, The",David Fincher,R,128,1,0,0,0,1
